,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin(35),Mvir_all(36),M200b(37),M200c(38),M500c(39),M2500c(40),Xoff(41),Voff(42),Spin_Bullock(43),b_to_a(44),c_to_a(45),A[x](46),A[y](47),A[z](48),b_to_a(500c)(49),c_to_a(500c)(50),A[x](500c)(51),A[y](500c)(52),A[z](500c)(53),T/|U|(54),M_pe_Behroozi(55),M_pe_Diemer(56),Macc(57),Mpeak(58),Vacc(59),Vpeak(60),Halfmass_Scale(61),Acc_Rate_Inst(62),Acc_Rate_100Myr(63),Acc_Rate_1*Tdyn(64),Acc_Rate_2*Tdyn(65),Acc_Rate_Mpeak(66),Mpeak_Scale(67),Acc_Scale(68),First_Acc_Scale(69),First_Acc_Mvir(70),First_Acc_Vmax(71),Vmax@Mpeak(72)
0,1.00035,3060299107,0.0,-1,6,-1,-1,-1,0,164300000000000.0,164300000000000.0,1133.583,112.873,965.65,1,0.2523,952.39,35.724990000000005,43.2765,17.712989999999998,48.16,-34.49,-82.51,1798000000000000.0,-944900000000000.0,-4756000000000000.0,0.02444,29078816,29078816,3060299107,1859298,180,-1,29235040,29078994,112.87299999999999,164400000000000,181910000000000,134390000000000,104130000000000,56707000000000,24.6404,58.66,0.02485,0.72158,0.58089,51.3941,-20.2019,17.9174,0.7429,0.53803,40.4987,-13.3887,17.0664,0.6102,182600000000000,89130000000000,164300000000000.0,164300000000000.0,952.39,1055.71,0.4023,2385.0,3763.0,10670.0,9896.0,9234.0,1.0,1.0,1.0,164300000000000.0,952.39,952.39
1,1.00035,3060312953,0.0,-1,7,-1,-1,-1,0,158900000000000.0,158900000000000.0,1120.898,223.9,886.99,1,0.3063,823.11,45.20892,49.70751,39.91124,-14.21,264.96,-132.11,9636000000000000.0,2706000000000000.0,-1.061e+16,0.06467,30416219,30416219,3060312953,1873144,180,-1,30540286,30416397,236.771,158890000000000,186780000000000,122230000000000,80702000000000,34903000000000,44.961000000000006,29.56,0.07414,0.56817,0.45925,47.9605,-3.0215799999999997,41.3292,0.60823,0.47031999999999996,33.6251,6.01483,24.9607,0.6324,159800000000000,134000000000000,158900000000000.0,158900000000000.0,823.11,922.11,0.5043,14310.0,13140.0,12860.0,13910.0,10930.0,1.0,1.0,1.0,158900000000000.0,823.11,823.11
2,1.00035,3058440575,0.0,-1,5,-1,-1,-1,0,114400000000000.0,114400000000000.0,1004.602,129.441,807.59,1,0.4803,799.42,21.81201,13.89226,9.54759,-4.75,104.38,-61.29,1865000000000000.0,-1887000000000000.0,-2824000000000000.0,0.03395,41860817,41860817,3058440575,766,180,-1,41957653,41860995,129.725,114400000000000,127030000000000,95981000000000,70697000000000,32653000000000,25.4258,33.87,0.034069999999999996,0.85185,0.7760199999999999,40.1133,18.3443,11.6084,0.67889,0.59719,33.677,12.0561,12.8466,0.5770000000000001,124200000000000,73310000000000,114400000000000.0,114400000000000.0,799.42,879.87,0.4803,2385.0,2381.0,5633.0,5141.0,4015.0,1.0,1.0,1.0,114400000000000.0,799.42,799.42
3,1.00035,3058441456,0.0,-1,6,-1,-1,-1,0,97090000000000.0,97090000000000.0,951.183,315.145,757.36,1,0.9673,679.37,26.18034,14.314229999999998,6.51834,-271.94,78.85,423.44,2361000000000000.0,-8066000000000000.0,4859000000000000.0,0.07951,48794645,48794645,3058441456,1647,180,-1,48862586,48794823,257.849,97591000000000,113800000000000,72664000000000,37646000000000,15335000000000,148.482,343.53,0.11216,0.57167,0.45266000000000006,49.1656,-6.97703,-40.8122,0.78346,0.521,1.63147,-15.4471,30.0835,0.7308,97340000000000,116100000000000,97090000000000.0,97090000000000.0,679.37,679.61,0.6403,14550.0,17250.0,14900.0,7434.0,8291.0,1.0,1.0,1.0,97090000000000.0,679.37,679.37
4,1.00035,3058452345,0.0,-1,2,-1,-1,-1,0,85270000000000.0,85270000000000.0,910.885,115.08,746.0,1,0.3063,735.68,1.74397,29.733240000000002,17.82519,317.08,238.52,179.34,1222000000000000.0,1385000000000000.0,180100000000000.0,0.02584,54872110,54872110,3058452345,12536,180,-1,54950293,54872285,109.15100000000001,85277000000000,98043000000000,68832000000000,50204000000000,25801000000000,41.2743,82.78,0.026619999999999998,0.7048399999999999,0.58662,37.9641,-19.6549,-1.4724700000000002,0.73451,0.62266,28.5585,-11.7736,2.18833,0.5982,88280000000000,52120000000000,85270000000000.0,85270000000000.0,735.68,808.63,0.4864,2385.0,1843.0,3519.0,4122.0,4712.0,1.0,1.0,1.0,85270000000000.0,735.68,735.68
5,1.00035,3058463669,0.0,-1,5,-1,-1,-1,0,84380000000000.0,84260000000000.0,907.259,142.204,744.91,1,0.6043,696.86,10.27388,26.238329999999998,22.292679999999997,-57.3,186.67,-187.27,448100000000000.0,-1407000000000000.0,-1645000000000000.0,0.02841,55865752,55865752,3058463669,23860,180,-1,55937036,55865930,142.204,84476000000000,94784000000000,67199000000000,49028000000000,20225000000000,72.4168,16.44,0.03234,0.71024,0.5189699999999999,44.0497,15.0645,29.0486,0.72529,0.46598,33.3457,16.6235,18.4158,0.6456,88360000000000,61470000000000,84260000000000.0,84390000000000.0,696.86,711.33,0.6103,-1669.0,-828.9,6331.0,4894.0,4903.0,0.9883,1.0,1.0,84260000000000.0,696.86,700.49
6,1.00035,3058683023,0.0,-1,8,-1,-1,-1,0,83570000000000.0,83570000000000.0,904.809,156.271,720.18,1,0.3963,681.43,12.023480000000001,36.63193,33.6698,-306.38,-77.55,-386.58,367800000000000.0,-774300000000000.0,4302000000000000.0,0.0598,56500354,56500354,3058683023,243214,180,-1,56560170,56500529,160.069,83679000000000,93482000000000,66190000000000,44355000000000,20693000000000,46.0053,138.63,0.06506,0.96519,0.57839,16.7726,38.7455,4.32532,0.86667,0.47098,25.2126,13.9201,-14.5646,0.609,85450000000000,63380000000000,83570000000000.0,83570000000000.0,681.43,731.95,0.6643,1669.0,1529.0,5579.0,7395.0,8211.0,1.0,1.0,1.0,83570000000000.0,681.43,681.43
7,1.00035,3060115960,0.0,-1,7,-1,-1,-1,0,77950000000000.0,77950000000000.0,884.053,151.706,707.99,1,0.5623,668.98,45.82376,6.50973,41.8451,-233.79,179.51,64.62,-4152000000000000.0,-68700000000000.0,81590000000000.0,0.061860000000000005,59144160,59144160,3060115960,1676151,180,-1,59218190,59144338,151.70600000000002,78021000000000,88080000000000,64161000000000,42587000000000,17912000000000,49.2188,134.44,0.06917999999999999,0.9801700000000001,0.8641399999999999,25.4422,-2.9361200000000003,35.2637,0.67475,0.60709,30.6835,-3.7870199999999996,13.5712,0.6272,81810000000000,60930000000000,77950000000000.0,77950000000000.0,668.98,709.03,0.5564,5723.0,6083.0,5497.0,2778.0,3789.0,1.0,1.0,1.0,77950000000000.0,668.98,668.98
8,1.00035,3058477222,0.0,-1,3,-1,-1,-1,0,72840000000000.0,72840000000000.0,864.284,149.548,691.68,1,0.3663,654.46,14.5065,24.59419,38.47238,-31.82,239.24,-397.53,1690000000000000.0,205200000000000.0,-732600000000000.0,0.03135,62984468,62984468,3058477222,37413,180,-1,63045292,62984640,147.69,72842000000000,81131000000000,57837000000000,37859000000000,18421000000000,29.0348,182.92,0.03456,0.81117,0.45208999999999994,-10.283,-11.0193,42.6866,0.61463,0.4477,9.62314,-14.1907,28.2112,0.6206,73780000000000,55610000000000,72840000000000.0,72840000000000.0,654.46,675.54,0.5864,8108.0,10440.0,8205.0,4724.0,4724.0,1.0,1.0,1.0,72840000000000.0,654.46,654.46
9,1.00035,3058476367,0.0,-1,7,-1,-1,-1,0,72713300000000.0,72490000000000.0,862.917,109.561,726.74,1,0.5223,688.94,10.37234,33.420629999999996,32.935520000000004,-16.72,315.94,-417.13,-736600000000000.0,-1841000000000000.0,-2244000000000000.0,0.0526,63045293,63045293,3058476367,36558,180,-1,63118186,63045469,109.561,72500000000000,78779000000000,62175000000000,46582000000000,20486000000000,38.232,73.5,0.0563,0.64742,0.5657300000000001,-18.4611,47.3245,-18.578,0.69844,0.60123,-8.95547,34.864000000000004,-16.8667,0.627,80870000000000,47200000000000,72490000000000.0,72740000000000.0,688.94,727.21,0.5103,-1669.0,-1267.0,5544.0,6087.0,3127.0,0.9853,1.0,1.0,72490000000000.0,688.94,691.59
